ID,Title,Author,Units,Illustrator,Genre,Publisher,Publication Year,Price,Description,Condition,Condition Description,Format,Features,Language,Topic,Book Series,Type,Narrative Type,Edition,Manufactured,Inscribed,Intended Audience,Vintage,Signed,Pictures
1,The Count of Monte Cristo,Alexandre Dumas,1,,"Drama, Mystery, Victorian, Suspense",Bantam Books,1956,3,Used but in good condition.,Acceptable,Used,Paperback,Dust Jacket,English,Adventure,,Novel,Fiction,,,,"Young Adults, Adults",Yes,,5
2,Goodnight Moon,Margaret Wise Brown,1,Clement Hurd,"Children, Fantasy, Animals",Harper and Row,1947,20,"Good condition, minimal wear.",Good,No visible wear.,Hardback,,English,Playtime,,Kid's book,Fiction,,,,,,,10
3,"Oh, The Places You'll Go",Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1990,15,Minimal wear.,Good,Folds on pages.,Hardback,Dust Jacket,English,Poetry,,Kid's book,Fiction,,,,,,,7
4,Horton Hears A Who!,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1982,14,See pictures,Good,Torn pages.,Hardback,,English,Children,,Kid's book,Fiction,,,,,,,3
5,The Sneetches and Other Stories,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1989,5,Used but in good condition.,Very Good,Used,Hardback,,English,,,,,,,,,,,2
6,Green Eggs and Ham,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1988,15,"Good condition, minimal wear.",Good,No visible wear.,Hardback,,English,,,,,,,,,,,2
7,Ten Apples Up On Top!,Dr. Seuss as Theo. LeSieg,1,Roy McKie,"Children, Fantasy, Educational, Humor",Random House,1989,1,Minimal wear.,Good,Folds on pages.,Hardback,,English,,,,,,,,,,,2
8,The Cat in the Hat,Dr. Seuss,1,,"Children, Fantasy, Educational, Humor",Random House,1985,2,See pictures,Good,Torn pages.,Hardback,,English,,,,,,,,,,,2
9,The Little Engine that Could,Watty Piper,1,George and Doris Hauman,"Children, Fantasy, Educational, Humor, Trains, Animals",Platt and Munk,1961,3,Used but in good condition.,Good,Used,Hardback,,English,,,,,,,,,,,2
10,The Mirror Crack'd,Agatha Christie,1,,"Mystery, Detective, Suspense, Drama, Murder, Thriller,",Pocket Books,1964,4,"Good condition, minimal wear.",Acceptable,No visible wear.,Paperback,,English,,,,,,,,,,,2
11,Kids' Book of Gross Facts and Feats,Todd Strasser,1,Donna Reynolds,"Children, Educational, Humor, Animals, Biology, Insects",Watermill Press,1998,10,Minimal wear.,Acceptable,Folds on pages.,Paperback,,English,,,,,,,,,,,2
12,Sesame Street - Grover Takes Care of Baby,Emily Thompson,1,Tom Cooke,"Children, Fantasy, Educational, Humor, Trains, Animals, Babies",Little Golden Books,1987,11,See pictures,Good,Torn pages.,Hardback,,English,,,,,,,,,,,2
13,Star Wars - Little Golden Book Collection,"Courtney Carbone, Christopher Nicholas, Geof Smith",1,"Heather Martinez, Ethen Beavers, Patrick Spaziante, Caleb Meurer, Micky Rose, Chris Kennett, Ron Cohee","Children, Fantasy, Educational, Humor, Sci Fi",Little Golden Books,2016,12,Used but in good condition.,Good,Used,Hardback,,English,,,,,,,,,,,2
14,The Jungle Book,Rudyard Kipling,1,,"Children, Educational, Humor, Animals",Little Golden Books,1967,13,"Good condition, minimal wear.",Acceptable,No visible wear.,Hardback,,English,,,,,,,,,,,2
15,101 Dalmatians,Justine Korman,1,Bill Langley and Ron Dias,"Children, Educational, Humor, Animals, Fantasy",Little Golden Books,1991,14,Minimal wear.,Good,Folds on pages.,Hardback,,English,,,,,,,,,,,2
16,A Series of Unfortunate Events - The Reptile Room,Lemony Snicket,1,Brett Helquist,"Children, Drama, Mystery, Suspense, Thriller, Young Adult",Harper Collins,1999,15,See pictures,Good,Torn pages.,Hardback,,English,,,,,,,,,,,2
17,Junie B. Jones is a Beauty Shop Guy,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Random House,1998,161,Used but in good condition.,Acceptable,Used,Paperback,,English,,,,,,,,,,,2
18,Junie B. Jones and the Mushy Gushy Valentime,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Random House,1999,7,"Good condition, minimal wear.",Acceptable,No visible wear.,Paperback,,English,,,,,,,,,,,2
19,Junie B. Jones Has a Peep in Her Pocket,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Random House,2000,18,Minimal wear.,Acceptable,Folds on pages.,Paperback,,English,,,,,,,,,,,2
20,Bullies Are a Pain in the Brain,Trevor Romain,1,Trevor Romain,"Children, Fantasy, Educational, Humor",Free Spirit Publishing,1997,19,See pictures,Good,Torn pages.,Paperback,,English,,,,,,,,,,,2
21,Fish!,"Stephen C. Lundin Ph.D., Harry Paul and John Christensen",1,,"Educational, Self Help, Careers, Business",Hyperion,2000,20,Used but in good condition.,Good,Used,Hardback,,English,,,,,,,,,,,2
22,The Time Machine and Invisible Man,H.G. Wells,1,,"Fantasy, Sci Fi, Thriller, Drama, Suspense",Signet Classic,1984,34,"Good condition, minimal wear.",Acceptable,No visible wear.,Paperback,,English,,,,,,,,,,,2
23,The Westing Game,Ellen Raskin,1,,"Adult, Mystery, Murder, Thriller, Suspense",Scholastic,1978,31,Minimal wear.,Good,Folds on pages.,Paperback,,English,,,,,,,,,,,2
24,The New Bible Commentary Revised,"D. Guthrie, J.A Motyer, A.M. Stibbs, D.G. Wiseman",1,,"Religion, Christianity, Spirituality, History, Commentary",Guide Posts,1984,25,See pictures,Good,Torn pages.,Hardback,Dust Jacket,English,,,,,,,,,,,2
25,Goosebumps - Night of the Living Dummy,R.L. Stine,1,,"Children, Young Adult, Thriller, Humor, Suspense, Scary",Scholastic,1993,180,Used but in good condition.,Acceptable,Used,Paperback,,English,,,,,,,,,,,2
26,A Boy at War,Harry Mazer,1,,"Children, Young Adult, Thriller, War, Military, History, Suspense",Scholastic,2001,1,"Good condition, minimal wear.",Acceptable,No visible wear.,Paperback,,English,,,,,,,,,,,2
27,Nancy Drew - Ghost Stories,Carolyn Keene,1,,"Children, Young Adult, Thriller, Suspense, Horror",Aladdin Paperbacks,1983,23,Minimal wear.,Good,Folds on pages.,Paperback,,English,,,,,,,,,,,2
28,The Maze Runner,James Dashner,1,,"Young Adult, Suspense, Adventure, Thriller, Sci Fi",Delacorte Press,2009,4,See pictures,Good,Torn pages.,Paperback,,English,,,,,,,,,,,2
29,Wayside School Gets A Little Stranger,Louis Sachar,1,,"Children, Fantasy, Educational, Humor",Avon Camelot,1996,5,Used but in good condition.,Acceptable,Used,Paperback,,English,,,,,,,,,,,2
30,Captain Underpants and the Invasion of the Incredibly Naughy Cafeteria Ladies From Outer Space,Dav Pilkey,1,,"Children, Fantasy, Educational, Humor, Sci Fi",Scholastic,1999,6,"Good condition, minimal wear.",Good,No visible wear.,Paperback,,English,,,,,,,,,,,2
31,Junie B. Jones - First Grader (At Last!),Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Scholastic,2002,7,Minimal wear.,Good,Folds on pages.,Paperback,,English,,,,,,,,,,,2
32,Nancy Drew and the Clue Crew - Case of the Sneaky Snowman,Carolyn Keene,1,Macky Pamintuan,"Children, Young Adult, Thriller, Suspense, Mystery",Scholastic,2007,8,See pictures,Good,Torn pages.,Paperback,,English,,,,,,,,,,,2
33,Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,1,,"Children, Fantasy, Educational, Humor, Sci Fi",Scholastic,1999,9,Used but in good condition.,Good,Used,Paperback,,English,,,,,,,,,,,2
34,Junie B. Jones - Aloha-ha-ha!,Barbara Park,1,Denise Brunkus,"Children, Fantasy, Educational, Humor",Scholastic,2007,8,"Good condition, minimal wear.",Acceptable,No visible wear.,Paperback,,English,,,,,,,,,,,2
